"Workstream","Task","Acceptance Criteria","Priority","Owner","Status","Due Date","Notes / Evidence"
"Campaign Strategy","Choose Kickstarter category and subcategory","Category selected, likely Technology or Design, with hardware/product rules understood","High","","Not Started","",""
"Campaign Strategy","Define campaign goal in one sentence","Clear promise explains what Pixora is, who it is for, and what backers receive","High","","Not Started","",""
"Campaign Strategy","Define target backer personas","At least 3 personas documented: smart home users, makers, desk/dashboard fans, small businesses","Medium","","Not Started","",""
"Campaign Strategy","Decide launch window","Launch date and time chosen, with at least 6 weeks of prep before launch","High","","Not Started","",""
"Campaign Strategy","Create launch calendar","Daily/weekly plan for prelaunch, launch day, mid-campaign, final 48 hours, and post-campaign","High","","Not Started","",""
"Campaign Strategy","Set funding goal","Goal includes BOM, manufacturing, packaging, shipping buffer, taxes, Kickstarter fees, payment fees, replacement units, and contingency","High","","Not Started","",""
"Campaign Strategy","Decide minimum viable campaign quantity","Minimum unit count covers supplier MOQs and still leaves margin after fees and fulfillment","High","","Not Started","",""
"Campaign Strategy","Define stretch goal policy","Decision made whether to avoid stretch goals or only offer low-risk software/card-library stretch goals","Medium","","Not Started","",""
"Kickstarter Account","Create or verify Kickstarter account","Account exists and can access project creator tools","High","","Not Started","",""
"Kickstarter Account","Complete identity verification","Creator or business verification submitted and accepted","High","","Not Started","",""
"Kickstarter Account","Add bank account","Bank account is in the creator/entity name and verified before campaign review","High","","Not Started","",""
"Kickstarter Account","Add creator payment card","Valid card attached in creator/entity name","High","","Not Started","",""
"Kickstarter Account","Decide individual vs business creator","Legal/tax path chosen before entering payout details","High","","Not Started","",""
"Kickstarter Account","Confirm tax handling","Expected tax reporting and sales tax/VAT responsibilities documented with accountant if needed","High","","Not Started","",""
"Product Scope","Define launch hardware version","Exact display size, enclosure, power, mounting/stand, included accessories, and firmware version documented","High","","Not Started","",""
"Product Scope","Freeze campaign feature list","Campaign promises limited to features that are already working or low-risk to finish","High","","Not Started","",""
"Product Scope","List what is not included","No-subscription, local server expectations, cloud limitations, mobile app status, integrations, and supported devices clarified","High","","Not Started","",""
"Product Scope","Document supported cards","List of cards included at launch: clock, weather, NASA/SpaceX, Etsy, sports, Home Assistant/Hubitat, stocks, travel, social, etc.","Medium","","Not Started","",""
"Product Scope","Document setup requirements","Clear requirements for Windows/local server, Wi-Fi, power, and account/API keys for optional integrations","High","","Not Started","",""
"Prototype","Build hero demo unit","One polished prototype runs reliably for video and photos","High","","Not Started","",""
"Prototype","Build backup demo unit","Second working unit available in case the hero unit fails during filming or live demo","Medium","","Not Started","",""
"Prototype","Show real working prototype","Campaign media shows real hardware operating, not only renders or mockups","High","","Not Started","",""
"Prototype","Record setup flow demo","Video clip shows connecting a display, configuring Wi-Fi, adding cards, and seeing the display update","High","","Not Started","",""
"Prototype","Record multi-screen/group wall demo","Video clip shows at least two displays working together for wall/test animations","Medium","","Not Started","",""
"Prototype","Run reliability test","Prototype runs a mixed card deck for 72 hours without server or display failure","High","","Not Started","",""
"Manufacturing","Create BOM","Complete bill of materials with supplier, part number, unit cost, lead time, and backup source","High","","Not Started","",""
"Manufacturing","Price BOM at 50 units","Unit economics calculated at 50 units","High","","Not Started","",""
"Manufacturing","Price BOM at 100 units","Unit economics calculated at 100 units","High","","Not Started","",""
"Manufacturing","Price BOM at 250 units","Unit economics calculated at 250 units","Medium","","Not Started","",""
"Manufacturing","Choose enclosure path","Decision made: 3D printed, acrylic, off-the-shelf, CNC, injection mold, or hybrid","High","","Not Started","",""
"Manufacturing","Validate enclosure cost","Per-unit enclosure cost and lead time confirmed with supplier or internal process","High","","Not Started","",""
"Manufacturing","Confirm assembly process","Who assembles, flashes, tests, packs, and labels each unit is documented","High","","Not Started","",""
"Manufacturing","Create QA checklist","Per-unit test steps include display pixels, Wi-Fi, server connection, color order, firmware version, and burn-in","High","","Not Started","",""
"Manufacturing","Identify manufacturing risks","Top 10 supply/assembly risks listed with mitigation plans","Medium","","Not Started","",""
"Compliance","Decide device compliance path","FCC/CE/UL/power-supply responsibilities documented for the exact reward configuration","High","","Not Started","",""
"Compliance","Use certified power supply","Included/recommended power supply certification status confirmed","High","","Not Started","",""
"Compliance","Review Wi-Fi module certification","Wi-Fi module certification and labeling implications checked","High","","Not Started","",""
"Compliance","Review open-source licenses","All bundled fonts, libraries, firmware, and card code licenses reviewed for redistribution","High","","Not Started","",""
"Compliance","Create safety guidance","Power, heat, indoor-use, mounting, and child-safety guidance drafted","Medium","","Not Started","",""
"Pricing","Calculate landed unit cost","Hardware, enclosure, packaging, labor, fees, shipping buffer, replacements, and tax reserve included","High","","Not Started","",""
"Pricing","Set early bird price","Early bird price covers cost with acceptable margin and limited quantity","High","","Not Started","",""
"Pricing","Set standard price","Standard reward price covers expected worst-case unit cost and fulfillment","High","","Not Started","",""
"Pricing","Set two-pack price","Two-pack price accounts for shipping weight, packaging, and assembly time","Medium","","Not Started","",""
"Pricing","Decide add-ons","Only low-risk add-ons included, such as extra stand, cable, alternate case color, or wall kit","Medium","","Not Started","",""
"Rewards","Create reward tier list","3-10 tiers defined with title, price, contents, quantity limit, delivery date, and shipping rules","High","","Not Started","",""
"Rewards","Define no-reward support tier","Low-price support tier created with realistic non-physical reward","Low","","Not Started","",""
"Rewards","Define early bird tier","Limited quantity tier written and priced","High","","Not Started","",""
"Rewards","Define standard device tier","Main featured reward tier written and priced","High","","Not Started","",""
"Rewards","Define multi-pack tier","Two-pack or small-business tier written and priced if economics work","Medium","","Not Started","",""
"Rewards","Set estimated delivery dates","Delivery dates include manufacturing, compliance, shipping, and contingency","High","","Not Started","",""
"Shipping","Measure packed unit","Box dimensions and weight measured with realistic packaging","High","","Not Started","",""
"Shipping","Quote domestic shipping","US shipping cost estimated with carrier/service and buffer","High","","Not Started","",""
"Shipping","Quote international shipping","International regions either priced realistically or excluded intentionally","High","","Not Started","",""
"Shipping","Decide shipping collection method","Decision made whether to collect shipping on Kickstarter or later via pledge manager","High","","Not Started","",""
"Shipping","Plan damaged/lost replacement policy","Replacement budget and policy documented","Medium","","Not Started","",""
"Shipping","Choose fulfillment method","Self-fulfillment, 3PL, or hybrid chosen with cost estimate","Medium","","Not Started","",""
"Campaign Page","Write project title","Title includes Pixora and a searchable phrase like LED dashboard or smart display","High","","Not Started","",""
"Campaign Page","Write project blurb","Short blurb clearly explains Pixora in under 135 characters","High","","Not Started","",""
"Campaign Page","Create project image","Image looks good at thumbnail size and with play button overlay","High","","Not Started","",""
"Campaign Page","Draft campaign story","Page includes problem, solution, product tour, use cases, specs, rewards, timeline, risks, and team","High","","Not Started","",""
"Campaign Page","Draft risks and challenges","Honest risks section covers hardware supply, compliance, software polish, shipping, and timeline","High","","Not Started","",""
"Campaign Page","Create FAQ draft","FAQ answers setup, subscriptions, integrations, privacy/local-first, shipping, warranty, and compatibility","Medium","","Not Started","",""
"Campaign Page","Add real prototype photos","At least 8 high-quality photos of real device, app, cards, packaging/prototype, and scale/context","High","","Not Started","",""
"Campaign Page","Create specs table","Display size, resolution, power, connectivity, supported OS/server, enclosure dimensions, included items","High","","Not Started","",""
"Campaign Video","Write video script","60-120 second script covers hook, product demo, why now, rewards, and call to action","High","","Not Started","",""
"Campaign Video","Create shot list","Shot list includes real LED display, app setup, card library, group wall, integrations, and close-ups","High","","Not Started","",""
"Campaign Video","Film product footage","Clean footage captured with readable LED matrix and no flicker issues","High","","Not Started","",""
"Campaign Video","Record founder segment","Short authentic founder clip explaining why Pixora exists","Medium","","Not Started","",""
"Campaign Video","Edit campaign video","Final video uploaded early to verify Kickstarter encoding","High","","Not Started","",""
"Campaign Video","Create captions","Captions or text overlays added for silent viewing","Medium","","Not Started","",""
